ids, screen_name, followers, retweet, inreplyto, favorite, friends, listed, text, location
750670792040390656,IsRoyWorkin,18,40,,0,84,0,RT @DLoesch: The scary thing is that the Clinton camp hopes Kaine will make up a little for her lack of likability. He’s failing tonight. #…,
114873175,wismiss3,1653,114,,0,2152,124,"RT @RichardEngel: Pence hitting hard on foreign policy, that iraq chaos, isis, all legacies of Clinton leadership. but seeds go back to bus…",Wisconsin
740379906974978049,texasfrederick,609,679,,0,467,90,RT @TEN_GOP: Watch: Mike Pence has bigger crowds than Hillary Clinton.. https://t.co/7ll2Fopep9,Texas
851726574,NObamaChat,13867,1,,0,4641,498,Tim Kaine is a TOTAL jerk. Keep's changing subject. Can't defend Hillary Clinton. Launches phony attacks. #RedNationRising,"Everywhere, USA"
737711594176688129,reagan01a,9497,0,,0,7987,15,The craziest thing in the world: Watch Bill Clinton slam Obamas prized health care law  #news  https://t.co/19yOTFlqWd,
263379775,freegalt,3203,11,,0,2630,186,"RT @PeterSchiff: The social security trust fund is a fraud, just like #Clinton.  #Trump is correct.  Social Security is, and always has bee…",
3744729495,SheilaMathews16,123,184,,0,137,6,"RT @JaredWyand: Tim Kaine explains why the Clinton's are trustworthy lol

You be the judge America

#VPDebate https://t.co/7MZYeEcwfu",New hampshire
11724882,zannerina,761,13,,0,1247,10,RT @ddiamond: What Hillary Clinton has released on taxes vs. what Donald Trump has released. #VPDebate https://t.co/oeGyAmmRLD,
735126623327027200,PollyBot_US,32,0,,0,0,8,DeSart model in Kentucky: Trump is in the lead #2016election #trump #clinton https://t.co/sfOPZ3vPiH,
26878857,habs8693,320,4280,,0,673,9,"RT @GUCCIFER_2: #Guccifer2 hacked #ClintonFoundation
https://t.co/EDDoAj6FW8 https://t.co/kmSWJ9IKCA",Finger Lakes
4371599354,lish0531,2744,1562,,0,3177,38,RT @joshrogin: Pence is right. Clinton &amp; Obama tried to negotiate an Iraq troop extension but failed. Bush admin always anticipated such an…,"Pittsburgh, PA"
595712996,StWolbodo,276,550,,0,634,5,RT @SopanDeb: Trump in Arizona with a...new twist to his tax return defense; Why didn't Clinton do more as senator to stop people like me?…,murraygsp2016
228976691,benklostermann,434,0,realDonaldTrump,1,253,2,@realDonaldTrump Pence looks calm &amp; smooth. Kaine is a joke just like the Clinton Campaign. #VPDebate,
2256903986,rawolf35,3348,0,,0,2547,61,CNN would know since they contribute to the Clinton campaign.  CNN = Corporate Entitlement. https://t.co/ASAxN9FYhA,Elkhart Indiana
16105471,beerydnas,29,6849,,0,212,0,"RT @realDonaldTrump: Wow, did you just hear Bill Clinton's statement on how bad ObamaCare is. Hillary not happy. As I have been saying, REP…",USA
744156414126481408,olbillybitcoin3,413,11,,0,329,29,"RT @PeterSchiff: The social security trust fund is a fraud, just like #Clinton.  #Trump is correct.  Social Security is, and always has bee…",
464228783,VetsForObama,1891,17,,0,680,105,"RT @politicoroger: Kaine: ""When Hillary Clinton became secretary of state, Gov. Pence, do you know Osama bin Laden was alive?""
Pence: ""Yes.…",USA
865096266,TonyGiusiana,686,18,,0,918,12,RT @jennybethm: Quite a contrast: A Trump-Pence ticket that promises to cut taxes for American families vs Clinton-Kaine who will raise the…,Peoples Republic of California
22004115,Notgvn,545,12,,0,845,25,"RT @KevinMKruse: Pence claimed Clinton's plans would raise the debt more than Trump's. No.
https://t.co/ws5ThkqnZ4",Ohio Attorney General's Office
